id,title,category,content,source,word_count
DOC001,Introduction to Artificial Intelligence,Artificial Intelligence,"Artificial intelligence studies how machines can perform tasks that normally require human intelligence, including reasoning, perception, planning and decision making under uncertainty.",Lecture Notes,22
DOC002,Search Algorithms in AI,Artificial Intelligence,"Uninformed and informed search strategies such as breadth-first search, depth-first search and A star explore a state space to find a path from an initial state to a goal state.",Reference Textbook,30
DOC003,Knowledge Representation,Artificial Intelligence,"Knowledge representation encodes facts about the world in a form a machine can reason over, using logic, semantic networks, frames and ontologies.",Survey Paper,22
DOC004,Expert Systems,Artificial Intelligence,"An expert system captures human expertise as a rule base and uses an inference engine to draw conclusions, offering explanations for the advice it produces.",Technical Manual,25
DOC005,Propositional and Predicate Logic,Artificial Intelligence,"Logical inference lets an agent derive new statements from known ones using rules such as modus ponens, resolution and unification over quantified expressions.",Course Handout,23
DOC006,Intelligent Agents,Artificial Intelligence,"An intelligent agent perceives its environment through sensors and acts through actuators, selecting actions that maximise a performance measure over time.",Lecture Notes,21
DOC007,Planning and Scheduling,Artificial Intelligence,Automated planning constructs a sequence of actions that transforms an initial world state into a goal state while respecting preconditions and resource constraints.,Reference Textbook,23
DOC008,Constraint Satisfaction Problems,Artificial Intelligence,"Constraint satisfaction formulates a problem as variables, domains and constraints, solved by backtracking search combined with constraint propagation and heuristics.",Survey Paper,20
DOC009,Game Playing and Adversarial Search,Artificial Intelligence,"Minimax search with alpha-beta pruning evaluates game trees for two player games, trading search depth against the accuracy of the evaluation function.",Technical Manual,22
DOC010,Ethics and Explainability in AI,Artificial Intelligence,"Responsible artificial intelligence addresses fairness, accountability, transparency and the ability to explain why an automated system produced a particular decision.",Course Handout,20
DOC011,Introduction to Machine Learning,Machine Learning,Machine learning is a branch of artificial intelligence that allows computers to learn patterns from data and make predictions without being explicitly programmed for each task.,Lecture Notes,26
DOC012,Supervised Learning Algorithms,Machine Learning,"Supervised learning uses labelled training data to learn a mapping from inputs to outputs, covering algorithms such as regression, decision trees and support vector machines.",Reference Textbook,25
DOC013,Unsupervised Learning and Clustering,Machine Learning,"Unsupervised learning discovers structure in unlabelled data, grouping similar observations using techniques such as k-means, hierarchical clustering and density based methods.",Survey Paper,21
DOC014,Linear and Logistic Regression,Machine Learning,"Linear regression fits a continuous target as a weighted sum of features, while logistic regression models class probability using the sigmoid function and cross entropy loss.",Technical Manual,26
DOC015,Decision Trees and Random Forests,Machine Learning,"Decision trees split data on feature thresholds to form interpretable rules, and random forests average many randomised trees to reduce variance and improve generalisation.",Course Handout,24
DOC016,Support Vector Machines,Machine Learning,Support vector machines find the hyperplane with the maximum margin between classes and use kernel functions to separate data that is not linearly separable.,Lecture Notes,24
DOC017,Overfitting and Regularization,Machine Learning,"A model that memorises training noise generalises poorly, so regularisation, early stopping and cross validation are used to control model complexity.",Reference Textbook,21
DOC018,Feature Engineering and Selection,Machine Learning,"Feature engineering transforms raw attributes into informative inputs through scaling, encoding and aggregation, while selection removes redundant or irrelevant variables.",Survey Paper,20
DOC019,Model Evaluation Metrics,Machine Learning,"Accuracy, precision, recall, F1 score and the area under the ROC curve measure different aspects of classifier quality, especially on imbalanced datasets.",Technical Manual,22
DOC020,Ensemble Learning Methods,Machine Learning,"Ensemble methods such as bagging, boosting and stacking combine several weak learners into a stronger predictor with lower bias or lower variance.",Course Handout,22
DOC021,Introduction to Deep Learning,Deep Learning,Deep learning uses artificial neural networks with multiple layers to learn hierarchical representations and complex patterns directly from large datasets.,Lecture Notes,20
DOC022,Artificial Neural Networks,Deep Learning,A feedforward neural network passes inputs through weighted connections and nonlinear activation functions to compute an output used for classification or regression.,Reference Textbook,22
DOC023,Backpropagation and Gradient Descent,Deep Learning,"Backpropagation computes the gradient of the loss with respect to every weight using the chain rule, and gradient descent updates the weights to reduce the loss.",Survey Paper,26
DOC024,Convolutional Neural Networks,Deep Learning,"Convolutional networks apply learned filters across an image to detect local patterns such as edges and textures, using pooling layers to build translation tolerant features.",Technical Manual,25
DOC025,Recurrent Neural Networks and LSTM,Deep Learning,"Recurrent networks maintain a hidden state across time steps for sequential data, while LSTM and GRU cells use gates to preserve information over long sequences.",Course Handout,25
DOC026,Transformer Architecture,Deep Learning,"The transformer replaces recurrence with self attention, letting every token attend to every other token in parallel and scaling efficiently to very large corpora.",Lecture Notes,24
DOC027,Attention Mechanisms,Deep Learning,"Attention computes a weighted combination of value vectors using the similarity between queries and keys, allowing a model to focus on the most relevant parts of its input.",Reference Textbook,28
DOC028,Transfer Learning and Fine Tuning,Deep Learning,Transfer learning reuses a model pretrained on a large corpus and adapts it to a smaller downstream task by fine tuning some or all of its parameters.,Survey Paper,27
DOC029,Regularization in Neural Networks,Deep Learning,"Dropout, batch normalisation, weight decay and data augmentation reduce overfitting in deep networks and stabilise the optimisation process.",Technical Manual,18
DOC030,Generative Models and Autoencoders,Deep Learning,"Autoencoders compress input into a latent code and reconstruct it, while generative adversarial networks and diffusion models learn to synthesise realistic new samples.",Course Handout,23
DOC031,Introduction to Natural Language Processing,Natural Language Processing,"Natural language processing enables computers to understand, process and generate human language using computational linguistics and machine learning methods.",Lecture Notes,19
DOC032,Tokenization and Text Preprocessing,Natural Language Processing,"Preprocessing converts raw text into tokens through sentence splitting, lowercasing, stopword removal, stemming and lemmatisation before any model is applied.",Reference Textbook,20
DOC033,Part of Speech Tagging,Natural Language Processing,"Part of speech tagging assigns a grammatical category such as noun, verb or adjective to each token, usually with sequence models or neural taggers.",Survey Paper,24
DOC034,Named Entity Recognition,Natural Language Processing,"Named entity recognition locates and classifies spans of text that refer to people, organisations, locations, dates and other predefined entity types.",Technical Manual,21
DOC035,Word Embeddings,Natural Language Processing,"Word embeddings such as Word2Vec, GloVe and FastText map words to dense vectors so that words used in similar contexts lie close together in the vector space.",Course Handout,27
DOC036,Sentence Embeddings and Sentence-BERT,Natural Language Processing,Sentence-BERT fine tunes a transformer with a siamese structure so that whole sentences map to vectors whose cosine similarity reflects semantic similarity.,Lecture Notes,22
DOC037,Language Models,Natural Language Processing,"A language model assigns probabilities to sequences of tokens, evolving from n-gram counts to neural and transformer based models trained on very large corpora.",Reference Textbook,24
DOC038,Machine Translation,Natural Language Processing,"Neural machine translation encodes a source sentence into a continuous representation and decodes it into a target language, largely replacing phrase based statistical systems.",Survey Paper,24
